Att,Cmp,Pct,Yds,YPA,TD%,Int,Int%,Lg,Sack,Loss,Rate,TD
554,337,60.8,4132,7.5,5.4,14,2.5,65,23,217,91.4,30
451,257,57,3529,7.8,6,12,2.7,56,27,213,91,27
404,240,59.4,3199,7.9,7.4,19,4.7,74,23,191,89.7,30
463,257,55.5,3544,7.7,6.7,16,3.5,81,35,324,88.2,31
273,176,64.5,1795,6.6,5.5,9,3.3,71,15,100,87.8,15
589,348,59.1,4715,8,5.1,24,4.1,65,32,210,84.7,30
417,244,58.5,3223,7.7,3.1,11,2.6,87,44,338,82.4,13
509,309,60.7,3716,7.3,4.5,20,3.9,56,41,311,81.8,23
436,260,59.6,3287,7.5,6.4,25,5.7,58,30,252,80.7,28
301,183,60.8,2150,7.1,4,13,4.3,41,26,190,77.8,12
320,193,60.3,2250,7,3.1,12,3.8,77,49,348,76.4,10
446,248,55.6,3134,7,5.2,21,4.7,47,34,262,75.3,23
454,262,57.7,2962,6.5,3.7,16,3.5,54,31,282,75.2,17
424,218,51.4,3339,7.9,5.7,22,5.2,68,33,245,75,24
439,251,57.2,2805,6.4,4.6,18,4.1,69,13,129,74.5,20
306,175,57.2,2475,8.1,5.9,22,7.2,71,17,138,73.1,18
320,165,51.6,2299,7.2,5.6,16,5,86,36,285,72.9,18
488,276,56.6,3346,6.9,3.5,20,4.1,67,44,341,72.3,17
522,299,57.3,3582,6.9,3.6,23,4.4,76,37,214,72.2,19
478,278,58.2,3529,7.4,3.1,25,5.2,69,37,314,70,15
521,254,48.8,3396,6.5,3.8,16,3.1,61,23,194,69.9,20
457,293,64.1,3202,7,2.8,28,6.1,79,27,264,68.7,13
425,228,53.6,2946,6.9,3.8,20,4.7,69,39,292,68.6,16
275,166,60.4,1778,6.5,2.2,13,4.7,67,24,174,66.9,6
321,186,57.9,1998,6.2,3.7,17,5.3,93,14,114,66.7,12
278,148,53.2,2039,7.3,4,16,5.8,89,26,205,66.2,11
327,176,53.8,1850,5.7,4.3,17,5.2,61,17,127,63.1,14
479,264,55.1,3329,6.9,3.5,30,6.3,55,42,326,62.7,17
234,115,49.1,1324,5.7,4.7,12,5.1,59,13,113,60.9,11
402,193,48,2321,5.8,3.7,19,4.7,58,36,233,58.9,15
554,337,60.8,4132,7.5,5.4,14,2.5,65,23,217,91.4,30
451,257,57,3529,7.8,6,12,2.7,56,27,213,91,27
404,240,59.4,3199,7.9,7.4,19,4.7,74,23,191,89.7,30
463,257,55.5,3544,7.7,6.7,16,3.5,81,35,324,88.2,31
273,176,64.5,1795,6.6,5.5,9,3.3,71,15,100,87.8,15
589,348,59.1,4715,8,5.1,24,4.1,65,32,210,84.7,30
417,244,58.5,3223,7.7,3.1,11,2.6,87,44,338,82.4,13
509,309,60.7,3716,7.3,4.5,20,3.9,56,41,311,81.8,23
436,260,59.6,3287,7.5,6.4,25,5.7,58,30,252,80.7,28
301,183,60.8,2150,7.1,4,13,4.3,41,26,190,77.8,12
