Att,Cmp,Yds,Int,Sack,Loss,TD
554,337,4132,14,23,217,30
451,257,3529,12,27,213,27
404,240,3199,19,23,191,30
463,257,3544,16,35,324,31
273,176,1795,9,15,100,15
589,348,4715,24,32,210,30
417,244,3223,11,44,338,13
509,309,3716,20,41,311,23
436,260,3287,25,30,252,28
301,183,2150,13,26,190,12
320,193,2250,12,49,348,10
446,248,3134,21,34,262,23
454,262,2962,16,31,282,17
424,218,3339,22,33,245,24
439,251,2805,18,13,129,20
306,175,2475,22,17,138,18
320,165,2299,16,36,285,18
488,276,3346,20,44,341,17
522,299,3582,23,37,214,19
478,278,3529,25,37,314,15
521,254,3396,16,23,194,20
457,293,3202,28,27,264,13
425,228,2946,20,39,292,16
275,166,1778,13,24,174,6
321,186,1998,17,14,114,12
278,148,2039,16,26,205,11
327,176,1850,17,17,127,14
479,264,3329,30,42,326,17
234,115,1324,12,13,113,11
402,193,2321,19,36,233,15
554,337,4132,14,23,217,30
451,257,3529,12,27,213,27
404,240,3199,19,23,191,30
463,257,3544,16,35,324,31
273,176,1795,9,15,100,15
589,348,4715,24,32,210,30
417,244,3223,11,44,338,13
509,309,3716,20,41,311,23
436,260,3287,25,30,252,28
301,183,2150,13,26,190,12
320,193,2250,12,49,348,10
446,248,3134,21,34,262,23
454,262,2962,16,31,282,17
424,218,3339,22,33,245,24
439,251,2805,18,13,129,20
306,175,2475,22,17,138,18
320,165,2299,16,36,285,18
488,276,3346,20,44,341,17
522,299,3582,23,37,214,19
478,278,3529,25,37,314,15
521,254,3396,16,23,194,20
457,293,3202,28,27,264,13
425,228,2946,20,39,292,16
275,166,1778,13,24,174,6
321,186,1998,17,14,114,12
278,148,2039,16,26,205,11
327,176,1850,17,17,127,14
479,264,3329,30,42,326,17
234,115,1324,12,13,113,11
402,193,2321,19,36,233,15
309,218,2495,9,26,154,12
330,204,2883,11,12,94,17
252,161,2033,9,30,223,13
247,156,2079,12,25,264,16
346,213,2613,11,20,166,17
261,153,1961,8,23,206,14
240,127,1768,11,18,131,17
210,120,1501,7,27,196,9
262,166,1905,11,20,177,8
209,118,1609,9,7,65,9
286,167,2076,12,31,244,12
169,95,1192,6,23,166,7
308,176,2037,12,21,130,15
261,152,2035,15,23,211,14
218,124,1790,14,25,196,12
298,161,2017,9,17,130,10
189,117,1343,10,13,106,6
205,109,1367,6,31,234,5
307,164,2071,11,11,128,9
223,131,1405,11,16,130,7
161,87,1005,8,12,92,6
179,98,1080,8,10,82,5
221,111,1281,7,16,129,5
132,67,880,8,29,234,6
245,126,1540,11,20,152,7
185,101,1064,8,13,117,4
197,100,1343,14,19,145,10
149,73,993,8,13,95,5
264,144,1597,16,11,105,7
432,274,3167,5,51,348,22
459,276,3714,11,34,242,29
296,173,2210,6,10,80,20
243,147,2139,11,38,279,18
515,332,3910,12,33,224,26
340,215,2975,15,14,107,20
354,209,2636,11,43,315,24
484,289,4458,29,40,307,32
297,198,2333,13,25,187,12
533,334,3980,23,37,314,29
379,230,2935,18,42,363,20
303,168,2411,12,29,195,15
603,346,4348,18,41,284,24
496,291,3566,23,27,233,26
295,175,2184,13,42,266,12
464,274,3276,23,21,178,22
446,235,3315,18,53,385,20
423,249,2906,21,39,289,18
518,308,3478,26,42,314,18
508,281,2995,25,27,266,26
444,239,2840,16,37,254,11
387,204,2577,18,37,274,12
328,163,2353,17,40,278,12
311,176,1988,18,18,159,9
381,197,2553,21,51,339,12
287,151,1875,17,13,120,7
259,123,1663,14,28,218,7
386,190,2516,22,31,218,9
564,362,5084,17,13,120,48
432,279,3630,10,22,138,28
431,259,3228,8,59,409,23
560,345,4614,16,49,377,28
269,181,2158,10,40,300,11
477,283,3391,13,48,341,24
401,237,3195,19,32,244,25
507,317,3740,17,29,228,19
480,276,3671,24,40,314,32
